Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Baro Altitude,GPS posENU[0],GPS posENU[1],GPS posENU[2],Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,VN Stdev,VE Stdev,Accel Bias X Stdev,Accel Bias Y Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],onGround,movingDetection,
5.500000,-0.051537,0.000000,0.101929,-0.006589,0.006590,0.002330,9.992847,10.145872,45.007051,-0.000366,-0.083182,-1.768430,0.640590,-0.279400,0.020529,0.058804,4.000000,5.000000,11.000000,4.000000,7.543485,9.599880,0.029687,-0.026187,-0.067769,9.819638,0.000139,-2.449330,-0.545927,-45.031370,-0.042732,0.080816,0.002677,0.049301,0.005582,-0.018960,-0.575757,0.605863,0.018977,-0.102005,0.022677,0.068995,0.116931,0.113390,0.007960,0.007179,0.632361,-1.758195,-0.311332,0.088552,0.016572,0.259348,1.000000,0.000000,
6.000000,-0.056231,0.000000,0.101929,-0.006493,0.006494,0.002296,9.992488,10.146204,45.005070,-0.000242,-0.083182,-1.768430,0.640590,-0.279400,0.020145,0.066438,4.000000,5.000000,14.000000,4.000000,7.529366,9.624551,0.029687,-0.026187,-0.067769,9.819638,0.000139,-2.463017,-0.521540,-45.035303,-0.095850,0.155441,0.003083,0.014705,0.064826,-0.017742,-0.084232,0.125120,0.020597,-0.024323,0.103867,0.068791,0.171973,0.165276,0.007960,0.007179,0.632361,-1.758195,-0.311332,0.088552,0.016572,0.259348,1.000000,0.000000,
6.500000,-0.060925,0.000000,0.101928,-0.006624,0.006625,0.002342,9.992195,10.146434,45.003578,-0.000366,0.047214,1.061254,-0.546754,0.663833,0.020437,0.080433,5.000000,6.000000,16.000000,5.000000,7.586968,9.682315,0.027529,-0.023397,-0.068052,9.820087,0.000588,-2.405154,-0.464077,-45.035556,-0.037947,0.063960,-0.001438,0.058823,0.005786,-0.028803,-0.551070,0.569542,0.018885,-0.102862,0.022957,0.068887,0.115314,0.112241,0.007034,0.006485,-0.557802,1.074377,0.653097,0.009313,-0.003556,0.199935,1.000000,0.000000,
7.000000,-0.065618,0.000000,0.101928,-0.006767,0.006767,0.002393,9.991851,10.146680,45.001880,-0.000411,0.047214,1.061254,-0.546754,0.663833,0.020759,0.062621,5.000000,6.000000,19.000000,5.000000,7.562866,9.690235,0.027530,-0.023398,-0.068053,9.820088,0.000589,-2.429056,-0.456505,-45.039439,-0.086713,0.127733,-0.003177,0.027652,0.053902,-0.030172,-0.074885,0.103842,0.021216,-0.023949,0.104304,0.069765,0.167839,0.162326,0.007034,0.006485,-0.557802,1.074377,0.653097,0.009313,-0.003556,0.199935,1.000000,0.000000,
7.500000,-0.070310,0.000000,0.101929,-0.006789,0.006789,0.002400,9.991757,10.146771,45.001356,0.000005,-0.069045,0.750353,3.017706,-0.288143,0.029066,0.071527,6.000000,7.000000,21.000000,6.000000,7.418452,9.619395,0.025916,-0.021421,-0.068328,9.820509,0.001010,-2.573348,-0.527413,-45.041102,-0.031556,0.049357,-0.006579,0.065390,0.018704,-0.019904,-0.047162,0.060579,0.029522,-0.023331,0.103617,0.068340,0.114265,0.111450,0.006373,0.005962,3.017493,0.745882,-0.302398,0.009103,-0.122146,-0.119636,1.000000,0.000000,
8.000000,-0.075003,0.000000,0.101928,-0.006700,0.006700,0.002369,9.991488,10.147117,44.999595,-0.000388,-0.069045,0.750353,3.017706,-0.288143,0.021845,0.054987,6.000000,7.000000,24.000000,6.000000,7.594464,9.730964,0.025912,-0.021418,-0.068315,9.820490,0.000991,-2.397035,-0.416151,-45.044948,-0.073984,0.101290,-0.009246,0.039635,0.055648,-0.024035,-0.561070,0.568791,0.020291,-0.102997,0.024197,0.068754,0.165136,0.160282,0.006373,0.005962,3.017493,0.745882,-0.302398,0.009103,-0.122146,-0.119636,1.000000,0.000000,
8.500000,-0.079697,0.000000,0.101929,-0.006605,0.006604,0.002335,9.991342,10.147341,44.998544,-0.000363,-0.269373,1.503687,0.189148,-1.431867,0.023325,0.065165,7.000000,8.000000,26.000000,7.000000,7.626399,9.763247,0.024760,-0.020087,-0.068592,9.820904,0.001405,-2.364898,-0.384035,-45.046156,-0.037602,0.058587,-0.003166,0.073640,0.021812,0.014352,-0.555312,0.561005,0.021777,-0.102500,0.023409,0.068922,0.113529,0.110868,0.005870,0.005550,0.183329,1.499723,-1.436116,-0.011577,-0.000580,0.001049,1.000000,0.000000,
9.000000,-0.084391,0.000000,0.101928,-0.006509,0.006509,0.002301,9.991068,10.147550,44.997162,-0.000245,-0.269373,1.503687,0.189148,-1.431867,0.024100,0.066438,7.000000,8.000000,29.000000,7.000000,7.597955,9.758924,0.024760,-0.020087,-0.068594,9.820906,0.001407,-2.393012,-0.388532,-45.050100,-0.079380,0.109397,-0.006284,0.043952,0.064377,0.011902,-0.041503,0.059925,0.024548,-0.028259,0.097507,0.063646,0.163225,0.158775,0.005870,0.005550,0.183329,1.499723,-1.436116,-0.011577,-0.000580,0.001049,1.000000,0.000000,
9.500000,-0.089085,0.000000,0.101928,-0.006527,0.006526,0.002307,9.990753,10.147794,44.995558,-0.000244,-0.279850,-0.937767,-1.391592,0.157625,0.031683,0.072799,8.000000,9.000000,31.000000,8.000000,7.460860,9.699976,0.023838,-0.018966,-0.068919,9.821385,0.001886,-2.529775,-0.447736,-45.050812,-0.047242,0.050299,0.006570,-0.132898,-0.114250,0.035180,-0.040223,0.042297,0.032069,-0.040932,0.084755,0.060421,0.104726,0.102335,0.005445,0.005192,-1.396430,-0.945880,0.188078,-0.021710,0.009823,0.020870,1.000000,0.000000,
10.000000,-0.093775,0.000000,0.101928,-0.006792,0.006791,0.002401,9.990548,10.147985,44.994422,-0.000040,-0.279850,-0.937767,-1.391592,0.157625,0.019416,0.062621,8.000000,9.000000,34.000000,8.000000,7.794079,9.858581,0.023832,-0.018962,-0.068898,9.821356,0.001856,-2.196526,-0.289446,-45.054833,-0.082467,0.088358,0.004729,-0.164969,-0.080549,0.037777,-0.066017,0.098152,0.019840,-0.034302,0.092221,0.069626,0.155432,0.151423,0.005445,0.005192,-1.396430,-0.945880,0.188078,-0.021710,0.009823,0.020870,1.000000,0.000000,
10.500000,-0.423783,0.006735,0.865553,-0.485269,0.555422,-1.581775,-3.067491,-5.717765,44.106658,-0.016061,-0.222238,-0.606431,-1.361888,-0.366470,0.040746,0.053715,9.000000,10.000000,34.000000,9.000000,-5.122210,-5.888956,0.022879,-0.017140,-0.070188,9.823233,0.003735,-2.165827,-0.286339,-44.456805,0.239075,0.408954,0.072638,-0.139096,-0.001483,0.149635,-0.160706,0.173136,-0.022435,-0.409707,-0.549918,0.051068,0.104795,0.102204,0.005122,0.004915,-1.167649,-0.514180,-0.321595,0.039569,-0.135603,0.241392,1.000000,1.000000,
