Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,p,q,r,Roll ,Pitch,Yaw  ,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Nav Roll,Nav Pitch,Nav Roll Rate,Nav Pitch Rate,Nav Yaw Rate,Roll Error,Pitch Error,Yaw Error,velLL X Error,velLL Y Error,velLL Z Error,Alt Error (m),Ctrl PMW [0],Ctrl PMW [1],Ctrl PMW [2],Ctrl PMW [3],Ctrl rollCmd,Ctrl pitchCmd,Ctrl yawRateCmd,Ctrl VLLzCmd,Ctrl hCmd,
0.500000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,1000.000000,1000.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.098772,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,1000.000000,1000.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.098772,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,0.000000,0.000000,0.000000,0.000000,-2.495256,-0.341344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1000.000000,1000.000000,1000.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.098815,-0.000000,0.000000,-0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.000320,0.000964,-0.000968,0.003014,-2.494184,-0.342658,-0.109924,0.131908,0.128779,-2.494184,-0.342658,-81.001139,0.000964,-0.000968,0.003015,-0.000866,1100.000000,1100.000000,1100.000000,1100.000000,0.029224,0.028329,0.000000,-0.000000,0.000000,
2.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.002261,0.000199,0.000262,0.006556,-2.508871,-0.337380,-0.109924,0.131906,0.128835,-2.508871,-0.337380,-81.002090,0.000199,0.000262,0.006556,0.001075,1100.000000,1100.000000,1100.000000,1100.000000,0.011780,0.017548,0.000000,-0.000000,0.000000,
3.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.006371,0.000816,0.000468,0.010709,-2.506644,-0.340159,-0.109924,0.131906,0.128835,-2.506644,-0.340159,-81.004462,0.000816,0.000468,0.010710,0.005186,1100.000000,1100.000000,1100.000000,1100.000000,0.008799,0.026539,0.000000,-0.000000,0.000000,
3.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.003976,0.000331,0.000513,0.005758,-2.658246,-0.353915,-0.109925,0.131902,0.128931,-2.658246,-0.353915,-81.004263,0.000331,0.000513,0.005758,0.002791,1100.000000,1100.000000,1100.000000,1100.000000,0.008181,0.019455,0.000000,-0.000000,0.000000,
4.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.007190,0.001055,0.000927,0.007918,-2.656018,-0.356701,-0.109925,0.131902,0.128931,-2.656018,-0.356701,-81.006579,0.001055,0.000927,0.007918,0.006005,1100.000000,1100.000000,1100.000000,1100.000000,0.002161,0.030022,0.000000,-0.000000,0.000000,
4.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.003387,0.000809,0.000807,0.003808,-2.732044,-0.364638,-0.109928,0.131905,0.128974,-2.732044,-0.364638,-81.007687,0.000809,0.000807,0.003808,0.002201,1100.000000,1100.000000,1100.000000,1100.000000,0.003940,0.026398,0.000000,-0.000000,0.000000,
5.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.005384,0.001791,0.001424,0.005002,-2.729818,-0.367424,-0.109928,0.131905,0.128974,-2.729818,-0.367424,-81.009978,0.001791,0.001424,0.005002,0.004199,1100.000000,1100.000000,1100.000000,1100.000000,-0.005062,0.040758,0.000000,-0.000000,0.000000,
