Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,-0.235545,-1.134805,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,0.528495,0.126756,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,-0.041776,0.076523,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,-0.385561,-0.189813,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,-0.123620,0.209260,0.105439,0.250000,0.000023,-0.002281,0.016253,0.002729,1.000000,0.000000,0.177166,0.000000,0.020650,-3.469330,-0.519431,-81.119071,0.006864,0.016253,0.000443,-0.000791,0.006719,0.023316,0.002399,-0.003947,0.008842,0.061469,-0.013914,-0.008397,-0.009589,-0.038926,4.920218,1.957710,0.035713,0.091594,0.092726,0.082021,0.034808,0.035222,0.032503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,-0.072152,0.000540,0.105439,0.250000,-0.001239,-0.004007,0.029309,0.004832,1.000000,0.000000,0.177166,0.000000,0.020650,-3.467993,-0.518535,-81.135774,0.005285,0.029310,0.002510,-0.002554,0.020002,0.026992,0.011611,-0.003866,0.008842,0.061469,-0.013914,-0.008397,-0.009589,-0.038926,4.920358,1.958050,0.051243,0.151220,0.153185,0.133227,0.094176,0.095374,0.085680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,0.040572,0.062379,-0.110687,0.250000,0.000073,0.000024,-0.001027,0.001782,2.000000,0.000000,0.199588,0.000000,0.109693,-3.544965,-0.526021,-81.138400,0.009063,-0.001027,-0.000477,0.001497,-0.010467,0.034240,-0.006612,-0.006359,0.008700,0.060677,-0.014000,-0.008383,-0.009498,-0.038425,4.799603,1.930796,0.036067,0.054283,0.054331,0.047502,0.042443,0.042471,0.040479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,-0.304625,-0.207287,-0.110687,0.250000,-0.000786,-0.000796,0.003548,0.003091,2.000000,0.000000,0.199588,0.000000,0.109693,-3.543948,-0.524982,-81.154918,0.008834,0.003548,0.000684,0.000697,-0.006035,0.039070,-0.006739,-0.006681,0.008700,0.060677,-0.014000,-0.008383,-0.009498,-0.038425,4.799754,1.931162,0.051473,0.075886,0.075966,0.063153,0.070877,0.070940,0.066462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,0.388606,0.316448,-0.170338,0.250000,-0.004101,-0.000306,0.000271,0.003671,3.000000,0.000000,0.459842,0.000000,0.019279,-3.553652,-0.524582,-81.165622,0.009100,0.000271,0.001320,0.001150,-0.009089,0.043852,-0.006382,-0.004546,0.008702,0.060837,-0.014007,-0.008379,-0.009458,-0.038205,4.788463,1.929145,0.042354,0.047222,0.047235,0.039015,0.051700,0.051707,0.048726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,-0.009139,-0.009471,-0.170338,0.250000,-0.006145,-0.001275,0.005366,0.005159,3.000000,0.000000,0.459842,0.000000,0.019279,-3.552584,-0.523471,-81.181929,0.008273,0.005367,0.002773,0.000203,-0.004145,0.048327,-0.004678,-0.003684,0.008702,0.060837,-0.014007,-0.008379,-0.009458,-0.038205,4.788621,1.929531,0.056192,0.063433,0.063454,0.049087,0.072496,0.072513,0.067754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
