Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,0.634223,-0.189866,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,0.033274,-0.084797,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,0.008850,-0.013172,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,0.040626,0.045569,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,0.285608,-0.181803,-0.152396,0.250000,-0.001035,-0.002283,0.015961,0.005296,1.000000,0.000000,0.371973,0.000000,0.020650,-3.503347,-0.519740,-81.119070,0.006863,0.015961,0.003010,-0.000792,0.006427,0.023315,0.002343,-0.002890,0.008857,0.062036,-0.013696,-0.008397,-0.009589,-0.038927,4.920218,1.957710,0.035713,0.091586,0.092719,0.081991,0.034807,0.035221,0.032497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,-0.000944,-0.183224,-0.152396,0.250000,-0.003970,-0.004009,0.028646,0.008954,1.000000,0.000000,0.371973,0.000000,0.020650,-3.502009,-0.518848,-81.135772,0.005283,0.028647,0.006632,-0.002556,0.019339,0.026990,0.011316,-0.001135,0.008857,0.062036,-0.013696,-0.008397,-0.009589,-0.038927,4.920358,1.958050,0.051243,0.151204,0.153169,0.133160,0.094169,0.095367,0.085649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,-0.251727,-0.186609,0.000704,0.250000,0.001471,0.000024,-0.000734,0.000293,2.000000,0.000000,0.000006,0.000000,0.110859,-3.531370,-0.525873,-81.138400,0.009063,-0.000734,-0.001966,0.001497,-0.010174,0.034240,-0.006459,-0.007757,0.008695,0.060498,-0.014052,-0.008383,-0.009498,-0.038424,4.803758,1.930997,0.036067,0.054285,0.054334,0.047512,0.042443,0.042472,0.040485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,-0.084017,-0.013851,0.000704,0.250000,0.001459,-0.000796,0.004191,0.001192,2.000000,0.000000,0.000006,0.000000,0.110859,-3.530352,-0.524832,-81.154918,0.008834,0.004191,-0.001215,0.000697,-0.005392,0.039070,-0.006352,-0.008926,0.008695,0.060498,-0.014052,-0.008383,-0.009498,-0.038424,4.803909,1.931362,0.051473,0.075890,0.075971,0.063175,0.070880,0.070943,0.066476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,0.163409,0.282278,-0.013400,0.250000,0.001329,-0.000307,0.000606,0.000484,3.000000,0.000000,0.003655,0.000000,0.018460,-3.533967,-0.524071,-81.165623,0.009099,0.000606,-0.001867,0.001150,-0.008753,0.043852,-0.006335,-0.009976,0.008690,0.060527,-0.014066,-0.008377,-0.009458,-0.038205,4.790178,1.929242,0.042354,0.047224,0.047236,0.039025,0.051700,0.051707,0.048727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,0.038438,-0.005695,-0.013400,0.250000,0.001020,-0.001277,0.005947,0.001408,3.000000,0.000000,0.003655,0.000000,0.018460,-3.532900,-0.522958,-81.181931,0.008272,0.005948,-0.000979,0.000201,-0.003564,0.048326,-0.004402,-0.010848,0.008690,0.060527,-0.014066,-0.008377,-0.009458,-0.038205,4.790335,1.929628,0.056192,0.063436,0.063457,0.049103,0.072497,0.072514,0.067761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
